,pipeline,aggregation,batchLen,memory,timePerBatch,costPerBatch,BatcherCost,CollectorCost,noOfBatch,timeTotal,AllBatchCost,costTotal
29,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,1024,321.76232777777784,0.0054056352,0.00028687680000000004,0.0027983592000000003,5.0,1608.8116388888893,0.027028176,0.030113412
30,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,2048,157.91502666666668,0.005305977600000001,0.0003604944,0.0027351072,5.0,789.5751333333334,0.026529888000000005,0.029625489600000006
31,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,4096,90.87984055555557,0.006107203200000001,0.0008372448000000001,0.0030494688000000003,5.0,454.3992027777779,0.030536016000000006,0.03442272960000001
32,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,8192,69.99749222222222,0.0094078656,0.0015855168000000002,0.0046523904,5.0,349.9874611111111,0.047039328000000005,0.0532772352
33,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,least_cost,157.91502666666668,0.005305977600000001,0.00028687680000000004,0.0027351072,5.0,789.5751333333334,0.026529888000000005,0.029551872000000003
34,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,least_time,69.99749222222222,0.0094078656,,,5.0,349.9874611111111,0.047039328000000005,
35,step-agg-csmbrw-150Sec-batch,csmbrw,150,1024,512.8367838888889,0.008615661600000001,0.00022083600000000002,0.0027989136000000003,4.0,2051.3471355555557,0.034462646400000005,0.03748239600000001
36,step-agg-csmbrw-150Sec-batch,csmbrw,150,2048,255.10542277777785,0.008571561600000001,0.00037978080000000003,0.0027166944,4.0,1020.4216911111114,0.034286246400000005,0.0373827216
37,step-agg-csmbrw-150Sec-batch,csmbrw,150,4096,141.76102055555555,0.009526406400000001,0.000718704,0.0030509472,4.0,567.0440822222222,0.038105625600000005,0.04187527680000001
38,step-agg-csmbrw-150Sec-batch,csmbrw,150,8192,108.70224555555552,0.014609683200000001,0.0014855232000000002,0.0047972736000000005,4.0,434.8089822222221,0.058438732800000004,0.06472152960000001
39,step-agg-csmbrw-150Sec-batch,csmbrw,150,least_cost,255.10542277777785,0.008571561600000001,0.00022083600000000002,0.0027166944,4.0,1020.4216911111114,0.034286246400000005,0.037223776800000004
40,step-agg-csmbrw-150Sec-batch,csmbrw,150,least_time,108.70224555555552,0.014609683200000001,,,4.0,434.8089822222221,0.058438732800000004,
41,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,1024,512.4579616666666,0.008609344800000002,0.00022083600000000002,0.0027989136000000003,4.0,2049.8318466666665,0.03443737920000001,0.03745712880000001
42,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,2048,256.2434261111111,0.0086098992,0.00037978080000000003,0.0027166944,4.0,1024.9737044444444,0.0344395968,0.037536072
43,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,4096,145.48841777777776,0.009777062400000001,0.000718704,0.0030509472,4.0,581.953671111111,0.039108249600000006,0.04287790080000001
44,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,8192,110.93783666666666,0.014910604800000001,0.0014855232000000002,0.0047972736000000005,4.0,443.7513466666666,0.059642419200000005,0.06592521600000001
