CMDLINE python3 app.py
MEM 117.535156 1670554702.5664
MEM 117.535156 1670554702.6667
MEM 117.535156 1670554702.7671
MEM 117.535156 1670554702.8674
MEM 117.535156 1670554702.9677
MEM 117.535156 1670554703.0680
MEM 117.535156 1670554703.1684
MEM 117.535156 1670554703.2687
MEM 117.535156 1670554703.3690
MEM 117.535156 1670554703.4702
MEM 117.535156 1670554703.5706
MEM 117.535156 1670554703.6709
MEM 117.535156 1670554703.7713
MEM 117.535156 1670554703.8716
MEM 117.535156 1670554703.9725
MEM 117.535156 1670554704.0728
MEM 117.535156 1670554704.1732
MEM 117.535156 1670554704.2735
MEM 117.535156 1670554704.3738
MEM 117.535156 1670554704.4742
MEM 117.535156 1670554704.5745
MEM 117.535156 1670554704.6748
MEM 117.535156 1670554704.7752
MEM 117.535156 1670554704.8755
MEM 117.535156 1670554704.9758
MEM 117.535156 1670554705.0762
MEM 117.535156 1670554705.1766
MEM 117.535156 1670554705.2769
MEM 117.535156 1670554705.3773
MEM 117.535156 1670554705.4776
MEM 117.535156 1670554705.5794
MEM 117.535156 1670554705.6798
MEM 117.535156 1670554705.7801
MEM 117.535156 1670554705.8804
MEM 117.535156 1670554705.9849
MEM 117.535156 1670554706.0872
MEM 117.535156 1670554706.1880
MEM 117.535156 1670554706.2883
MEM 117.535156 1670554706.4042
MEM 117.535156 1670554706.5045
MEM 117.535156 1670554706.6048
MEM 117.535156 1670554706.7051
MEM 117.535156 1670554706.8055
MEM 117.535156 1670554706.9058
MEM 117.535156 1670554707.0061
MEM 117.535156 1670554707.1114
MEM 117.535156 1670554707.2118
MEM 117.535156 1670554707.3121
MEM 117.535156 1670554707.4124
MEM 117.535156 1670554707.5161
MEM 117.535156 1670554707.6165
MEM 117.535156 1670554707.7169
MEM 117.535156 1670554707.8172
MEM 117.535156 1670554707.9175
MEM 117.535156 1670554708.0194
MEM 117.535156 1670554708.1197
MEM 117.535156 1670554708.2200
MEM 117.535156 1670554708.3214
MEM 117.535156 1670554708.4219
MEM 117.535156 1670554708.5223
MEM 117.535156 1670554708.6226
MEM 117.535156 1670554708.7229
MEM 117.535156 1670554708.8233
MEM 117.535156 1670554708.9236
MEM 117.535156 1670554709.0240
MEM 117.535156 1670554709.1243
MEM 117.535156 1670554709.2246
MEM 117.535156 1670554709.3249
MEM 117.535156 1670554709.4252
MEM 117.535156 1670554709.5255
MEM 117.535156 1670554709.6261
MEM 117.535156 1670554709.7264
MEM 117.535156 1670554709.8268
MEM 117.535156 1670554709.9271
MEM 117.535156 1670554710.0274
MEM 117.535156 1670554710.1277
MEM 117.535156 1670554710.2281
MEM 117.535156 1670554710.3284
MEM 117.535156 1670554710.4287
MEM 117.535156 1670554710.5336
MEM 117.535156 1670554710.6339
MEM 117.535156 1670554710.7342
MEM 117.535156 1670554710.8353
MEM 117.535156 1670554710.9356
MEM 117.535156 1670554711.0359
MEM 117.535156 1670554711.1363
MEM 117.535156 1670554711.2369
MEM 117.535156 1670554711.3373
MEM 117.535156 1670554711.4377
MEM 117.535156 1670554711.5381
MEM 117.535156 1670554711.6384
MEM 117.535156 1670554711.7387
MEM 117.535156 1670554711.8391
MEM 117.535156 1670554711.9394
MEM 117.535156 1670554712.0397
MEM 117.535156 1670554712.1401
MEM 117.535156 1670554712.2404
MEM 117.535156 1670554712.3407
MEM 117.535156 1670554712.4411
MEM 117.535156 1670554712.5414
MEM 117.535156 1670554712.6418
MEM 117.535156 1670554712.7421
MEM 117.535156 1670554712.8429
